以下哪一选项不是日本战国三杰中的人物？,*武田信玄,织田信长,德川家康,丰臣秀吉
以下哪一选项不是日本的地域/城市？,*青木川,岐阜,千叶,富山
日语词汇"勉強"，在汉语中的意思是？,*学习,强迫,勉励,为难
日语词汇"手紙"，在汉语中的意思是？,*信,书,手写,卫生纸
以下哪一部动画不是由扳机社制作的？,*《天元突破》,《日常系的异能战斗》,《小魔女学园》,《斩服少女》
新海诚的哪一部动画电影将"3.11日本大地震"作为背景？,*《铃芽之旅》,《你的名字》,《天气之子》,《星之声》
截至目前，全世界总发行量最高的日本漫画是？,*《海贼王》,《鬼灭之刃》,《龙珠》,《JOJO的奇妙冒险》
以下哪一部漫画不是在《周刊少年JUMP》上连载的？,*《间谍过家家》,《咒术回战》,《排球少年》,《死亡笔记》
轻小说作品《我的朋友很少》中，主角团所在的社团名称叫什么？,*邻人部,古典文学社,侍奉部,SOS团
"大老师"这一称谓出自哪部作品？,*《我的青春恋爱物语果然有问题》,《约会大作战》,《变态王子与不笑猫》,《路人女主的养成方法》
《刀剑神域》中桐人因在封测时期获得很多关于SAO的情报，因此被称为？,*封弊者,适格者,人类恶,总大将
以下哪一选项不是日本同人三大奇迹中的作品？,*《Fate/stay night》,《月姬》,《东方Project》,《寒蝉鸣泣之时》
《东方Project》中被称为dio亲女儿的人物是？,*十六夜咲夜,东风谷早苗,蕾米莉亚,八云紫
"⑨"是《东方project》中谁的外号？,*琪露诺,古明地恋,风见幽香,雾雨魔理沙
被称为"唯一神"的cv是？,*松冈祯丞,岛崎信长,杉田智和,宫野真守
为虚拟歌姬初音未来提供声源的声优是？,*藤田咲,东山奈央,早见沙织,悠木碧
